"","ko","ko_description"
"286","K00621","GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]"
"287","K00625","pta; phosphate acetyltransferase [EC:2.3.1.8]"
"288","K00626","ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"289","K00627","DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
"290","K00629","GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]"
"291","K00630","ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]"
"292","K00632","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
"293","K00640","cysE; serine O-acetyltransferase [EC:2.3.1.30]"
"294","K00641","metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]"
"295","K00643","E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]"
"296","K00645","fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"297","K00647","fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"298","K00648","fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"299","K00651","metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]"
"300","K00652","bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]"
"301","K00654","SPT; serine palmitoyltransferase [EC:2.3.1.50]"
"302","K00655","plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"303","K00657","speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"
"304","K00658","DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
"305","K00659","BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]"
"306","K00660","CHS; chalcone synthase [EC:2.3.1.74]"
"307","K00665","FASN; fatty acid synthase, animal type [EC:2.3.1.85]"
"308","K00667","FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"
"309","K00668","FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]"
"310","K00669","AANAT; arylalkylamine N-acetyltransferase [EC:2.3.1.87]"
"311","K00672","ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]"
"312","K00673","astA; arginine N-succinyltransferase [EC:2.3.1.109]"
"313","K00674","dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
"314","K00677","lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]"
"315","K00688","PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
"316","K00693","GYS; glycogen synthase [EC:2.4.1.11]"
"317","K00699","UGT; glucuronosyltransferase [EC:2.4.1.17]"
"318","K00700","GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"319","K00703","glgA; starch synthase [EC:2.4.1.21]"
"320","K00705","malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]"
"321","K00710","GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]"
"322","K00717","FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]"
"323","K00719","B3GALNT1, B3GALT3; galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase [EC:2.4.1.79]"
"324","K00720","UGCG; ceramide glucosyltransferase [EC:2.4.1.80]"
"325","K00727","GCNT1; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]"
"326","K00728","POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]"
"327","K00729","ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]"
"328","K00730","OST4; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 4"
"329","K00731","C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]"
"330","K00733","B4GALT7; xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]"
"331","K00734","B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]"
"332","K00736","MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]"
"333","K00737","MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"
"334","K00738","MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]"
"335","K00739","B3GNT6; acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.147]"
"336","K00744","MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]"
"337","K00746","CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]"
"338","K00747","CHPF; chondroitin polymerizing factor [EC:2.4.1.175 2.4.1.226]"
"339","K00748","lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]"
"340","K00750","GYG1, GYG2; glycogenin [EC:2.4.1.186]"
"341","K00757","udp, UPP; uridine phosphorylase [EC:2.4.2.3]"
"342","K00762","pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]"
"343","K00764","purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
"344","K00765","hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]"
"345","K00766","trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]"
"346","K00767","nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]"
"347","K00768","E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
"348","K00771","XYLT; protein xylosyltransferase [EC:2.4.2.26]"
"349","K00772","mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]"
"350","K00778","ST6GAL1; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.3.1]"
"351","K00779","ST6GAL2; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.3.1]"
"352","K00787","FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"
"353","K00788","thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"354","K00789","metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]"
"355","K00793","ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"
"356","K00794","ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
"357","K00795","ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"
"358","K00796","folP; dihydropteroate synthase [EC:2.5.1.15]"
"359","K00797","speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]"
"360","K00798","MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"361","K00800","aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"362","K00801","FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]"
"363","K00804","GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
"364","K00814","GPT, ALT; alanine transaminase [EC:2.6.1.2]"
"365","K00815","TAT; tyrosine aminotransferase [EC:2.6.1.5]"
"366","K00817","hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"367","K00818","E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]"
"368","K00819","rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"
"369","K00820","glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
"370","K00821","argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"
"371","K00823","puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]"
"372","K00825","AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]"
"373","K00826","E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"374","K00830","AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]"
"375","K00831","serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
"376","K00832","tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]"
"377","K00833","bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]"
"378","K00836","ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]"
"379","K00838","ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]"
"380","K00840","astC; succinylornithine aminotransferase [EC:2.6.1.81]"
"381","K00841","patA; aminotransferase [EC:2.6.1.-]"
"382","K00844","HK; hexokinase [EC:2.7.1.1]"
"383","K00845","glk; glucokinase [EC:2.7.1.2]"
"384","K00849","galK; galactokinase [EC:2.7.1.6]"
"385","K00850","pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
"386","K00854","xylB, XYLB; xylulokinase [EC:2.7.1.17]"
"387","K00855","PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"
"388","K00859","coaE; dephospho-CoA kinase [EC:2.7.1.24]"
"389","K00860","cysC; adenylylsulfate kinase [EC:2.7.1.25]"
"390","K00861","RFK, FMN1; riboflavin kinase [EC:2.7.1.26]"
"391","K00863","DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]"
"392","K00866","CKI1; choline kinase [EC:2.7.1.32]"
"393","K00867","coaA; type I pantothenate kinase [EC:2.7.1.33]"
"394","K00869","MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]"
"395","K00872","thrB; homoserine kinase [EC:2.7.1.39]"
"396","K00873","PK, pyk; pyruvate kinase [EC:2.7.1.40]"
"397","K00874","kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"
"398","K00877","THI20; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]"
"399","K00878","thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]"
"400","K00883","dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]"
"401","K00886","ppgK; polyphosphate glucokinase [EC:2.7.1.63]"
"402","K00888","PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]"
"403","K00889","PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]"
"404","K00891","aroK, aroL; shikimate kinase [EC:2.7.1.71]"
"405","K00894","ETNK, EKI; ethanolamine kinase [EC:2.7.1.82]"
"406","K00899","mtnK; 5-methylthioribose kinase [EC:2.7.1.100]"
"407","K00911","ITPK; 1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]"
"408","K00912","lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]"
"409","K00913","ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]"
"410","K00915","IPMK, IPK2; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]"
"411","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]"
"412","K00919","ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]"
"413","K00925","ackA; acetate kinase [EC:2.7.2.1]"
"414","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
"415","K00928","lysC; aspartate kinase [EC:2.7.2.4]"
"416","K00930","argB; acetylglutamate kinase [EC:2.7.2.8]"
"417","K00931","proB; glutamate 5-kinase [EC:2.7.2.11]"
"418","K00933","E2.7.3.2; creatine kinase [EC:2.7.3.2]"
"419","K00938","E2.7.4.2, mvaK2; phosphomevalonate kinase [EC:2.7.4.2]"
"420","K00939","adk, AK; adenylate kinase [EC:2.7.4.3]"
"421","K00940","ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
"422","K00941","thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]"
"423","K00942","gmk, GUK1; guanylate kinase [EC:2.7.4.8]"
"424","K00943","tmk, DTYMK; dTMP kinase [EC:2.7.4.9]"
"425","K00944","AK3; nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]"
"426","K00946","thiL; thiamine-monophosphate kinase [EC:2.7.4.16]"
"427","K00948","PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"428","K00949","thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]"
"429","K00950","folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]"
"430","K00953","FLAD1; FAD synthetase [EC:2.7.7.2]"
"431","K00954","E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"432","K00955","cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]"
"433","K00956","cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]"
"434","K00957","cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]"
"435","K00958","sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
"436","K00963","UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
"437","K00965","galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
"438","K00966","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"439","K00967","PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]"
"440","K00968","PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]"
"441","K00969","nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]"
"442","K00972","UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]"
"443","K00973","rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
"444","K00975","glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"
"445","K00979","kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]"
"446","K00981","E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"
"447","K00983","neuA, nnaC; N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]"
"448","K00991","ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]"
"449","K00993","EPT1; ethanolaminephosphotransferase [EC:2.7.8.1]"
"450","K00994","CHPT1, CPT1; diacylglycerol cholinephosphotransferase [EC:2.7.8.2]"
"451","K00998","pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"
"452","K01001","ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]"
"453","K01006","ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
"454","K01007","pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
"455","K01012","bioB; biotin synthase [EC:2.8.1.6]"
"456","K01019","GAL3ST1; galactosylceramide sulfotransferase [EC:2.8.2.11]"
"457","K01041","gcdG, caiB; glutaryl-CoA transferase [EC:2.8.3.-]"
"458","K01046","lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
"459","K01051","E3.1.1.11; pectinesterase [EC:3.1.1.11]"
"460","K01053","gnl, RGN; gluconolactonase [EC:3.1.1.17]"
"461","K01054","MGLL; acylglycerol lipase [EC:3.1.1.23]"
"462","K01055","pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]"
"463","K01057","PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
"464","K01077","E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
"465","K01079","serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]"
"466","K01080","PLPP1_2_3; phosphatidate phosphatase [EC:3.1.3.4]"
"467","K01081","E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]"
"468","K01086","fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"469","K01089","hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]"
"470","K01092","E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
"471","K01100","E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]"
"472","K01106","INPP5A; inositol polyphosphate 5-phosphatase INPP5A [EC:3.1.3.56]"
"473","K01107","INPP1; inositol polyphosphate 1-phosphatase [EC:3.1.3.57]"
"474","K01109","INPP4; inositol polyphosphate-4-phosphatase [EC:3.1.3.66]"
"475","K01113","phoD; alkaline phosphatase D [EC:3.1.3.1]"
"476","K01116","PLCG1; phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]"
"477","K01132","GALNS; N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]"
"478","K01135","ARSB; arylsulfatase B [EC:3.1.6.12]"
"479","K01136","IDS; iduronate 2-sulfatase [EC:3.1.6.13]"
"480","K01137","GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]"
"481","K01184","E3.2.1.15; polygalacturonase [EC:3.2.1.15]"
"482","K01195","uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
"483","K01196","AGL; glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]"
"484","K01197","hya; hyaluronoglucosaminidase [EC:3.2.1.35]"
"485","K01200","pulA; pullulanase [EC:3.2.1.41]"
"486","K01205","NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]"
"487","K01213","E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]"
"488","K01214","ISA, treX; isoamylase [EC:3.2.1.68]"
"489","K01217","IDUA; L-iduronidase [EC:3.2.1.76]"
"490","K01228","MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]"
"491","K01230","MAN1A_C, MNS1_2; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"
"492","K01231","MAN2; alpha-mannosidase II [EC:3.2.1.114]"
"493","K01236","treZ, glgZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]"
"494","K01243","mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"495","K01244","MTN; 5'-methylthioadenosine nucleosidase [EC:3.2.2.16]"
"496","K01251","AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]"
"497","K01431","UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]"
"498","K01432","AFMID; arylformamidase [EC:3.5.1.9]"
"499","K01438","argE; acetylornithine deacetylase [EC:3.5.1.16]"
"500","K01439","dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"501","K01441","ACER1_2, ASAH3; alkaline ceramidase [EC:3.5.1.23]"
"502","K01458","hutG; N-formylglutamate deformylase [EC:3.5.1.68]"
"503","K01464","DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]"
"504","K01465","URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
"505","K01466","allB; allantoinase [EC:3.5.2.5]"
"506","K01468","hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
"507","K01476","rocF, arg; arginase [EC:3.5.3.1]"
"508","K01477","alc, ALLC; allantoicase [EC:3.5.3.4]"
"509","K01479","hutG; formiminoglutamase [EC:3.5.3.8]"
"510","K01480","speB; agmatinase [EC:3.5.3.11]"
"511","K01484","astB; succinylarginine dihydrolase [EC:3.5.3.23]"
"512","K01487","guaD, GDA; guanine deaminase [EC:3.5.4.3]"
"513","K01488","add, ADA; adenosine deaminase [EC:3.5.4.4]"
"514","K01490","AMPD; AMP deaminase [EC:3.5.4.6]"
"515","K01491","folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]"
"516","K01492","purNH; phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.2 2.1.2.3]"
"517","K01495","GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"
"518","K01496","hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]"
"519","K01497","ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]"
"520","K01498","ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]"
"521","K01499","mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]"
"522","K01500","fchA; methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]"
"523","K01506","davA; 5-aminopentanamidase [EC:3.5.1.30]"
"524","K01520","dut, DUT; dUTP diphosphatase [EC:3.6.1.23]"
"525","K01523","hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]"
"526","K01549","TIM11, ATP21; F-type H+-transporting ATP synthase subunit e"
"527","K01555","FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]"
"528","K01556","KYNU, kynU; kynureninase [EC:3.7.1.3]"
"529","K01565","SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]"
"530","K01574","adc; acetoacetate decarboxylase [EC:4.1.1.4]"
"531","K01579","panD; aspartate 1-decarboxylase [EC:4.1.1.11]"
"532","K01580","E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]"
"533","K01581","E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
"534","K01582","E4.1.1.18, ldcC, cadA; lysine decarboxylase [EC:4.1.1.18]"
"535","K01584","adiA; arginine decarboxylase [EC:4.1.1.19]"
"536","K01585","speA; arginine decarboxylase [EC:4.1.1.19]"
"537","K01586","lysA; diaminopimelate decarboxylase [EC:4.1.1.20]"
"538","K01587","PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]"
"539","K01588","purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]"
"540","K01589","purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]"
"541","K01591","pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]"
"542","K01593","DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]"
"543","K01595","ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]"
"544","K01596","E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
"545","K01597","MVD, mvaD; diphosphomevalonate decarboxylase [EC:4.1.1.33]"
"546","K01598","PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]"
"547","K01599","hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
"548","K01601","rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]"
"549","K01602","rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]"
"550","K01609","trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]"
"551","K01610","pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
"552","K01611","speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]"
"553","K01613","psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]"
"554","K01616","kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]"
"555","K01617","dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77]"
"556","K01622","K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
"557","K01623","ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"558","K01624","FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"559","K01625","eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]"
"560","K01626","E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"561","K01627","kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]"
"562","K01631","dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]"
