"","ko","ko_description"
"216","K00453","TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]"
"217","K00454","LOX2S; lipoxygenase [EC:1.13.11.12]"
"218","K00455","hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]"
"219","K00457","HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
"220","K00462","bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]"
"221","K00463","IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]"
"222","K00468","davB; lysine 2-monooxygenase [EC:1.13.12.2]"
"223","K00475","F3H; naringenin 3-dioxygenase [EC:1.14.11.9]"
"224","K00479","gbcA, bmoA; glycine betaine monooxygenase A [EC:1.14.13.251]"
"225","K00486","KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]"
"226","K00487","CYP73A; trans-cinnamate 4-monooxygenase [EC:1.14.14.91]"
"227","K00488","CYP27A1; cholestanetriol 26-monooxygenase [EC:1.14.15.15]"
"228","K00489","CYP7A1; cholesterol 7alpha-monooxygenase [EC:1.14.14.23]"
"229","K00497","CYP11B1; steroid 11beta-monooxygenase [EC:1.14.15.4]"
"230","K00498","CYP11A; cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6]"
"231","K00499","CMO; choline monooxygenase [EC:1.14.15.7]"
"232","K00501","TH; tyrosine 3-monooxygenase [EC:1.14.16.2]"
"233","K00502","TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]"
"234","K00503","DBH; dopamine beta-monooxygenase [EC:1.14.17.1]"
"235","K00505","TYR; tyrosinase [EC:1.14.18.1]"
"236","K00511","SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]"
"237","K00512","CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]"
"238","K00513","CYP21A; steroid 21-monooxygenase [EC:1.14.14.16]"
"239","K00514","ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]"
"240","K00525","E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"241","K00526","E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"242","K00529","hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]"
"243","K00531","anfG; nitrogenase delta subunit [EC:1.18.6.1]"
"244","K00542","GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]"
"245","K00543","ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]"
"246","K00544","BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]"
"247","K00548","metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
